xSingle,ySingle,xMarried,yMarried
7900.861573,9.76E-21,7893.557828,2.58E-11
7916.738924,0,7909.393193,1.73E-10
7932.616276,5.56E-20,7925.228559,8.37E-10
7948.493627,2.08E-18,7941.063924,2.96E-09
7964.370979,5.57E-17,7956.899289,7.64E-09
7980.24833,1.12E-15,7972.734655,1.44E-08
7996.125682,1.71E-14,7988.57002,1.96E-08
8012.003033,2.01E-13,8004.405386,1.91E-08
8027.880385,1.85E-12,8020.240751,1.33E-08
8043.757736,1.36E-11,8036.076117,7.04E-09
8059.635088,8.24E-11,8051.911482,4.50E-09
8075.512439,4.12E-10,8067.746847,6.50E-09
8091.389791,1.54E-09,8083.582213,1.14E-08
8107.267142,4.33E-09,8099.417578,1.64E-08
8123.144494,9.17E-09,8115.252944,1.92E-08
8139.021845,1.48E-08,8131.088309,1.96E-08
8154.899197,1.81E-08,8146.923675,1.84E-08
8170.776548,1.72E-08,8162.75904,1.56E-08
8186.6539,1.26E-08,8178.594405,1.11E-08
8202.531251,7.24E-09,8194.429771,6.21E-09
8218.408603,3.26E-09,8210.265136,2.62E-09
8234.285954,1.16E-09,8226.100502,8.12E-10
8250.163306,3.21E-10,8241.935867,1.81E-10
